epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.5116,0.25894,0.91497,1,0.2071,0.00055286,0.00055286,0.00055286
2,24.8253,0.33885,0.90482,1,0.30195,0.00108658,0.00108658,0.00108658
3,37.991,0.32337,0.84898,1,0.66883,0.00159829,0.00159829,0.00159829
4,50.579,0.30533,0.94162,1,0.16564,0.00156798,0.00156798,0.00156798
5,75.5843,0.27078,0.93909,1,0.16339,0.00153497,0.00153497,0.00153497
6,114.349,0.26397,0.94416,1,0.16037,0.00150197,0.00150197,0.00150197
7,155.419,0.24041,0.95431,1,0.12632,0.00146896,0.00146896,0.00146896
8,165.317,0.21122,0.95685,1,0.12167,0.00143595,0.00143595,0.00143595
9,185.622,0.21231,0.94162,1,0.12029,0.00140295,0.00140295,0.00140295
10,199.661,0.20528,0.95431,1,0.11355,0.00136994,0.00136994,0.00136994
11,212.08,0.19531,0.95812,1,0.10418,0.00133693,0.00133693,0.00133693
12,228.794,0.19395,0.94416,1,0.13561,0.00130393,0.00130393,0.00130393
13,237.153,0.18421,0.95178,1,0.14752,0.00127092,0.00127092,0.00127092
14,248.35,0.16585,0.95431,1,0.12417,0.00123791,0.00123791,0.00123791
15,256.7,0.17065,0.9632,1,0.08799,0.00120491,0.00120491,0.00120491
16,265.187,0.15955,0.96066,1,0.10434,0.0011719,0.0011719,0.0011719
17,273.564,0.15442,0.96193,1,0.09247,0.00113889,0.00113889,0.00113889
18,284.769,0.16269,0.95812,1,0.10842,0.00110589,0.00110589,0.00110589
19,293.191,0.13092,0.96827,1,0.09867,0.00107288,0.00107288,0.00107288
20,301.554,0.13032,0.96954,1,0.08299,0.00103987,0.00103987,0.00103987
21,312.822,0.13497,0.97589,1,0.05543,0.00100687,0.00100687,0.00100687
22,321.404,0.12964,0.97462,1,0.06837,0.000973861,0.000973861,0.000973861
23,330.06,0.1381,0.97716,1,0.05995,0.000940855,0.000940855,0.000940855
24,338.696,0.11433,0.97208,1,0.0678,0.000907848,0.000907848,0.000907848
25,350.077,0.12294,0.97335,1,0.05887,0.000874842,0.000874842,0.000874842
26,358.317,0.12221,0.97843,1,0.05526,0.000841835,0.000841835,0.000841835
27,366.643,0.09578,0.9797,1,0.04814,0.000808828,0.000808828,0.000808828
28,374.951,0.10443,0.97716,1,0.06516,0.000775822,0.000775822,0.000775822
29,386.499,0.10583,0.97462,1,0.07319,0.000742815,0.000742815,0.000742815
30,395.066,0.10636,0.98096,1,0.05868,0.000709809,0.000709809,0.000709809
31,403.635,0.10116,0.98096,1,0.04721,0.000676802,0.000676802,0.000676802
32,412.077,0.09659,0.97589,1,0.0538,0.000643795,0.000643795,0.000643795
33,424.111,0.08915,0.98604,1,0.03831,0.000610789,0.000610789,0.000610789
34,432.565,0.08614,0.97716,1,0.06876,0.000577782,0.000577782,0.000577782
35,440.887,0.081,0.98985,1,0.03266,0.000544776,0.000544776,0.000544776
36,454.999,0.07651,0.98477,1,0.0433,0.000511769,0.000511769,0.000511769
37,465.6,0.06488,0.98731,1,0.03725,0.000478762,0.000478762,0.000478762
38,476.16,0.06616,0.97589,1,0.06118,0.000445756,0.000445756,0.000445756
39,489.315,0.05652,0.9797,1,0.04621,0.000412749,0.000412749,0.000412749
40,497.633,0.05794,0.98477,1,0.03451,0.000379743,0.000379743,0.000379743
41,507.998,0.05193,0.98731,1,0.03862,0.000346736,0.000346736,0.000346736
42,516.604,0.0528,0.9835,1,0.04272,0.000313729,0.000313729,0.000313729
43,527.912,0.05788,0.98731,1,0.03486,0.000280723,0.000280723,0.000280723
44,536.262,0.04685,0.98858,1,0.03109,0.000247716,0.000247716,0.000247716
45,544.827,0.04846,0.98477,1,0.03382,0.00021471,0.00021471,0.00021471
