epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.153,1.01564,1.7234,1.66002,1.16015,0.42948,0.30229,0.24072,0.17661,0.44127,0.29825,0.24431,0.17056,1.02667,1.64409,1.3117,1.16812,0.00332998,0.00332998,0.00332998
2,430.758,0.92694,1.43191,1.16673,1.06539,0.36847,0.44181,0.35926,0.27114,0.37725,0.45445,0.36773,0.27039,0.90302,1.3109,1.03542,1.08157,0.00659735,0.00659735,0.00659735
3,639.897,0.96166,1.44476,1.1569,1.08249,0.37856,0.39701,0.32465,0.22889,0.3813,0.40178,0.32621,0.22503,1.01321,1.5805,1.14972,1.16178,0.00979872,0.00979872,0.00979872
4,845.595,0.96823,1.46089,1.15736,1.0942,0.35532,0.44331,0.35614,0.25798,0.35645,0.44334,0.35542,0.25212,0.94877,1.45695,1.11802,1.11921,0.009703,0.009703,0.009703
5,1049.13,0.94449,1.42475,1.11045,1.08515,0.35354,0.43362,0.36824,0.27207,0.35521,0.4361,0.36987,0.26662,0.96843,1.40318,1.0438,1.12465,0.009604,0.009604,0.009604
6,1254.34,0.93292,1.39765,1.08701,1.07976,0.37084,0.45308,0.36987,0.26699,0.36468,0.4491,0.36501,0.26882,0.94845,1.34127,0.99338,1.11457,0.009505,0.009505,0.009505
7,1458.15,0.90923,1.3614,1.05208,1.06733,0.40467,0.47622,0.41064,0.30936,0.40694,0.47884,0.41267,0.30884,0.91995,1.33001,0.97889,1.1006,0.009406,0.009406,0.009406
8,1661.04,0.90152,1.34744,1.03622,1.06417,0.40939,0.5316,0.40574,0.29094,0.40842,0.53011,0.40416,0.28812,0.91246,1.29834,0.9644,1.09274,0.009307,0.009307,0.009307
9,1858.46,0.89119,1.33494,1.02181,1.05985,0.42062,0.43557,0.38197,0.28362,0.42289,0.43187,0.38387,0.27749,0.92866,1.35847,0.97756,1.10426,0.009208,0.009208,0.009208
10,2055.49,0.87988,1.31994,1.00451,1.05221,0.39456,0.48297,0.40805,0.30761,0.39947,0.47891,0.40908,0.30027,0.8963,1.28347,0.92462,1.08357,0.009109,0.009109,0.009109
11,2255.42,0.87322,1.30901,0.98298,1.04949,0.42192,0.48436,0.42639,0.32112,0.42478,0.48769,0.42885,0.31938,0.88583,1.25448,0.93683,1.08522,0.00901,0.00901,0.00901
12,2451.43,0.8675,1.29389,0.97913,1.0489,0.44772,0.49776,0.42716,0.32363,0.44566,0.5007,0.42933,0.31595,0.90048,1.27467,0.93068,1.08392,0.008911,0.008911,0.008911
13,2638.39,0.8612,1.28827,0.96091,1.04286,0.42656,0.37964,0.38188,0.28184,0.4278,0.37778,0.38407,0.27973,0.9028,1.28547,0.94878,1.09461,0.008812,0.008812,0.008812
14,2839.77,0.85537,1.27896,0.96054,1.04278,0.4324,0.49571,0.44674,0.34165,0.43,0.50042,0.44976,0.34305,0.88426,1.23587,0.8978,1.08071,0.008713,0.008713,0.008713
15,3046.43,0.84539,1.26587,0.93927,1.03922,0.42278,0.4916,0.42225,0.32077,0.4298,0.49788,0.42668,0.31625,0.87769,1.25158,0.92587,1.08332,0.008614,0.008614,0.008614
16,3252.48,0.84261,1.26006,0.93359,1.03098,0.47082,0.50182,0.4408,0.33357,0.47038,0.50136,0.44184,0.33087,0.87129,1.2147,0.88172,1.06325,0.008515,0.008515,0.008515
17,3458.55,0.83764,1.24535,0.92485,1.02786,0.41614,0.51471,0.42082,0.31715,0.42078,0.52073,0.42748,0.31596,0.87119,1.21824,0.88891,1.0708,0.008416,0.008416,0.008416
18,3665.93,0.82912,1.24031,0.9147,1.02721,0.43311,0.49112,0.42191,0.32527,0.4352,0.49349,0.42228,0.32209,0.86002,1.22433,0.87803,1.0636,0.008317,0.008317,0.008317
19,3873.99,0.82808,1.23183,0.90735,1.02457,0.4003,0.48064,0.4207,0.32321,0.40115,0.48595,0.42592,0.32256,0.85784,1.19886,0.88668,1.06025,0.008218,0.008218,0.008218
20,4073.54,0.82154,1.22301,0.89357,1.0204,0.43199,0.48243,0.41613,0.31539,0.44099,0.48907,0.42167,0.30564,0.86797,1.22449,0.88899,1.07534,0.008119,0.008119,0.008119
